id,X_Minimum,X_Maximum,Y_Minimum,Y_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,TypeOfSteel_A300,TypeOfSteel_A400,Steel_Plate_Thickness,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,Luminosity_Index,SigmoidOfAreas,Pastry,Z_Scratch,K_Scatch,Stains,Dirtiness,Bumps,Other_Faults,defect_type
3985,1180,1202,4348250,4348321,561,37,70,62384,97,134,1362,0,1,175,0.2761,0.2909,0.3333,0.0088,0.2414,1.0,1.0,2.7202,1.0792,1.8389,0.6667,-0.0944,0.9998,0,0,0,0,0,0,1,Other_Faults
9503,107,120,1161637,1161649,58,22,19,7588,124,143,1356,0,1,70,0.1593,0.5893,0.9231,0.0103,0.6364,0.6316,0.0,1.7634,1.1461,1.0792,-0.0769,0.0305,0.2432,0,1,0,0,0,0,0,Z_Scratch
18701,983,1003,2355585,2355593,892,106,58,78470,119,142,1360,1,0,100,0.7941,0.6042,0.0714,0.0287,1.0,0.4118,0.0,2.9345,1.6021,0.301,-0.9286,0.0012,0.9999,0,0,0,0,0,0,1,Other_Faults
12712,39,224,1825287,1825355,6855,279,160,709363,36,124,1358,0,1,40,0.0574,0.4495,0.3988,0.1326,0.6295,0.4187,0.0,3.8142,2.2529,1.8325,-0.6012,-0.1902,1.0,0,0,1,0,0,0,0,K_Scatch
14424,977,981,128172,128184,17,6,4,2181,114,142,1358,1,0,50,0.5552,0.375,0.8,0.0037,1.0,1.0,0.0,1.2305,0.699,0.6021,-0.2,0.0175,0.1322,0,0,0,1,0,0,0,Stains
12192,686,692,1361745,1361748,16,7,4,2046,111,140,1358,0,1,50,0.9144,0.4286,1.0,0.0052,1.0,1.0,0.5,1.2041,0.8451,0.6021,0.0,-0.0049,0.1384,0,0,0,0,0,0,1,Other_Faults
7712,39,218,1512277,1512467,10941,755,444,1270726,27,141,1400,0,1,40,0.0586,0.5488,0.4,0.1286,0.5686,0.3678,0.0,4.0609,2.2529,1.1139,-0.6,-0.0979,1.0,0,0,1,0,0,0,0,K_Scatch
6335,126,165,595201,595245,383,73,39,41476,119,143,1358,0,1,40,0.1856,0.3095,0.9063,0.0236,0.7046,0.75,0.0,2.5832,1.5051,1.5051,-0.0938,-0.0129,0.9848,0,0,1,0,0,0,0,K_Scatch
4687,559,592,1439661,1439674,152,22,17,14760,82,111,1387,0,1,40,0.6906,0.2717,0.9546,0.0137,0.8846,0.9412,0.0,2.1818,1.3424,1.2041,-0.0454,-0.248,0.6268,0,0,0,0,0,1,0,Bumps
15809,137,159,90910,90937,534,59,50,60260,120,151,1358,1,0,70,0.2015,0.4024,0.1639,0.0249,0.5767,0.9861,1.0,2.7348,1.5315,1.699,0.8361,0.14,0.9998,0,1,0,0,0,0,0,Z_Scratch
18470,39,209,1411801,1411815,6476,286,136,684236,43,124,1358,0,1,40,0.0574,0.4295,0.3846,0.1235,0.5932,0.4516,0.0,3.8139,2.2253,1.8195,-0.6154,-0.1939,1.0,0,0,1,0,0,0,0,K_Scatch
10357,41,217,2787299,2787427,6596,310,145,699635,42,126,1358,0,1,40,0.0604,0.4639,0.4,0.1311,0.5742,0.4493,0.0,3.8122,2.2504,1.8325,-0.6,-0.1855,1.0,0,0,1,0,0,0,0,K_Scatch
14885,1134,1145,3257887,3257901,115,38,18,14697,120,149,1690,1,0,70,0.6194,0.5251,0.8571,0.0083,0.3684,0.8333,0.0,2.0607,1.1461,1.0792,-0.1429,0.0322,0.2901,0,0,0,0,0,1,0,Bumps
8813,300,312,2093622,2093633,93,15,12,9016,89,126,1352,0,1,40,0.3621,0.3636,0.9167,0.0066,0.8,1.0,1.0,1.9685,1.0414,1.0792,0.0833,-0.1251,0.2432,0,0,0,0,0,1,0,Bumps
16669,344,355,808173,808199,170,21,33,18625,91,119,1353,0,1,50,0.5074,0.2899,0.4516,0.0096,0.6191,1.0,1.0,2.2304,1.1139,1.5185,0.5484,-0.1522,0.43,1,0,0,0,0,0,0,Pastry
16783,1087,1103,983776,983827,521,54,32,62926,94,140,1627,0,1,40,0.3687,0.433,0.7188,0.0213,0.3818,0.9583,1.0,2.7168,1.5563,1.3617,0.2813,-0.1248,0.9474,0,0,0,0,0,0,1,Other_Faults
3202,39,211,1495267,1495336,6102,239,133,622760,48,125,1358,0,1,40,0.0604,0.4957,0.4014,0.1261,0.7202,0.5114,0.0,3.7989,2.233,1.8325,-0.5982,-0.1865,1.0,0,0,1,0,0,0,0,K_Scatch
3315,16,32,847943,847976,231,18,24,23706,63,95,1692,1,0,70,0.0107,0.2868,0.6364,0.0065,0.6111,1.0,1.0,2.3636,1.0414,1.3802,0.3636,-0.3864,0.5461,0,0,0,0,0,0,1,Other_Faults
7896,154,166,2835787,2835797,86,17,11,9848,88,127,1356,0,1,40,0.1873,0.3232,0.5454,0.0056,0.5882,1.0,1.0,1.9345,1.0,1.0414,0.4545,-0.1668,0.2621,0,0,0,0,0,0,1,Other_Faults
12934,39,181,2887095,2887114,4487,205,39,46972,40,135,1358,0,1,40,0.0574,0.3564,0.3829,0.1051,0.6604,0.5529,0.0,3.6152,2.1553,1.7243,-0.6171,-0.0302,1.0,0,0,1,0,0,0,0,K_Scatch
15363,39,218,2350467,2350536,6679,262,133,691010,40,126,1358,0,1,40,0.0574,0.4486,0.3778,0.1303,0.6354,0.4522,0.0,3.8247,2.248,1.8325,-0.6222,-0.1861,1.0,0,0,1,0,0,0,0,K_Scatch
11325,10,22,7765518,7765576,163,25,25,24476,111,141,1690,1,0,60,0.0236,0.4167,0.4286,0.0053,0.48,1.0,1.0,2.2122,0.9542,1.3979,0.5714,-0.0481,0.4366,1,0,0,0,0,0,0,Pastry
1544,1152,1167,1736811,1736822,128,32,16,15643,106,127,1380,0,1,40,0.2778,0.5454,1.0,0.0173,0.625,0.75,0.5,2.1072,1.3802,1.2041,0.0,-0.1092,0.3241,0,0,0,0,0,1,0,Bumps
11105,39,192,1566243,1567858,13114,634,359,1550152,26,141,1400,0,1,40,0.0557,0.5408,0.9551,0.1091,0.2413,0.4269,0.0,4.1207,2.1847,2.1732,-0.0449,-0.0935,1.0,0,0,1,0,0,0,0,K_Scatch
18497,1357,1373,212157,212188,114,20,26,13299,125,142,1373,0,1,40,0.3074,0.4396,0.3939,0.0096,0.65,0.9167,1.0,2.0569,1.1139,1.3424,0.6061,0.0348,0.4946,1,0,0,0,0,0,0,Pastry
4458,617,631,889681,889721,444,39,56,45269,87,125,1364,0,1,100,0.9106,0.4368,0.2308,0.0088,0.2381,0.9259,1.0,2.6484,1.0792,1.7482,0.7692,-0.1797,0.9809,0,0,0,0,0,0,1,Other_Faults
12317,924,935,1338444,1338484,61,27,28,6479,109,126,1352,0,1,40,0.65,0.4167,0.2857,0.0066,0.3077,1.0,1.0,1.7853,0.9542,1.4472,0.7143,-0.0556,0.2901,1,0,0,0,0,0,0,Pastry
16704,492,506,1087496,1087506,55,10,10,6860,103,135,1656,1,0,100,0.712,0.3778,0.8,0.0048,0.8,1.0,1.0,1.7404,0.9031,1.0,0.2,-0.1078,0.1852,0,0,0,0,0,1,0,Bumps
16941,803,825,838654,838663,408,44,49,39043,84,101,1358,0,1,40,0.7067,0.4368,0.75,0.014,0.6786,0.9796,1.0,2.6117,1.2787,1.6812,0.25,-0.3087,0.9648,0,0,0,0,0,0,1,Other_Faults
9840,460,555,3658370,3658511,4307,117,38,486047,40,190,1387,0,1,40,0.6775,0.475,0.5,0.07,0.6701,0.5273,0.0,3.6342,1.9031,1.7324,-0.5,-0.2855,1.0,0,0,1,0,0,0,0,K_Scatch
11400,50,519,1115618,1115654,309,36,29,27036,48,126,1362,0,1,70,0.7322,0.4668,0.5,0.0125,0.4722,1.0,1.0,2.4969,1.2305,1.4472,0.5,-0.2279,0.8778,0,0,0,0,0,1,0,Bumps
17043,0,14,1311947,1311971,16,5,2,2028,121,151,1358,0,1,50,0.0,0.4286,0.5714,0.0037,1.0,1.0,0.0,1.2041,0.699,0.4771,-0.4286,0.0272,0.1322,0,0,0,1,0,0,0,Stains
15946,625,635,1934877,1934989,308,26,43,37264,95,127,1364,0,1,90,0.9164,0.3299,0.3421,0.0077,0.5,1.0,1.0,2.4885,1.1139,1.6233,0.6579,-0.1451,0.7822,1,0,0,0,0,0,0,Pastry
10202,853,872,3257887,3257901,1148,42,64,12773,76,124,1360,0,1,200,0.7123,0.5204,0.2791,0.0132,0.3636,0.9778,1.0,3.0704,1.2553,1.8062,0.7209,-0.2395,0.9999,0,0,0,0,0,0,1,Other_Faults
2666,634,655,2020002,2020117,754,75,107,84410,83,132,1698,0,1,90,0.9164,0.405,0.1358,0.0094,0.1467,1.0,1.0,2.8716,1.2041,2.0294,0.8642,-0.1429,0.9998,0,0,0,0,0,0,1,Other_Faults
7074,449,455,1119116,1119168,59,16,14,6528,84,141,1624,1,0,60,0.6637,0.3158,0.6429,0.0065,0.5,1.0,1.0,1.7708,1.0414,1.1461,0.3571,-0.1551,0.2359,0,0,0,0,0,0,1,Other_Faults
7080,1065,1078,3204829,3204845,125,25,20,13108,83,133,1364,1,0,80,0.3928,0.5333,0.9375,0.011,0.55,0.95,1.0,2.0969,1.1761,1.2041,0.0625,-0.1588,0.3977,0,0,0,0,0,0,1,Other_Faults
17343,1613,1622,1126672,1126680,86,13,11,4616,56,125,1692,0,1,70,0.0024,0.2798,0.8182,0.0053,0.6923,1.0,1.0,1.9345,0.9542,1.0414,0.1818,-0.4918,0.2051,1,0,0,0,0,0,0,Pastry
4514,759,768,2433462,2433491,196,22,26,21661,93,132,1652,1,0,200,0.8443,0.2597,0.3512,0.0096,0.5454,1.0,1.0,2.2945,1.1139,1.415,0.6489,-0.1159,0.4946,0,0,0,0,0,1,0,Bumps
12600,506,519,367324,367330,31,13,6,4277,129,148,1364,0,1,50,0.6973,0.3222,0.6,0.0081,0.8461,1.0,0.0,1.4914,1.0414,0.7782,-0.4,0.0631,0.1613,0,0,0,1,0,0,0,Stains
289,789,797,891060,891079,29,22,6,3489,105,127,1360,0,1,50,0.9808,0.5735,0.2353,0.0125,0.7727,0.6667,0.0,1.4624,1.2305,0.6021,-0.7647,-0.0777,0.1734,0,0,0,1,0,0,0,Stains
14152,543,549,1029360,1029403,6,6,2,718,107,124,1360,0,1,50,0.7603,0.3333,0.75,0.0044,1.0,1.0,0.0,0.7782,0.7782,0.301,-0.25,-0.0938,0.1262,0,0,0,1,0,0,0,Stains
16168,41,194,1424299,1424367,11510,634,387,1361903,33,141,1402,0,1,40,0.0585,0.505,0.3846,0.1086,0.2464,0.4351,1.0,4.062,2.1818,2.2148,0.6154,-0.0944,1.0,0,0,1,0,0,0,0,K_Scatch
13491,1357,1374,86408,86427,196,20,20,21691,91,132,1692,1,0,60,0.3613,0.2781,0.8,0.0095,0.8,1.0,1.0,2.2923,1.2041,1.301,0.2,-0.1464,0.5296,0,0,0,0,0,1,0,Bumps
5879,782,803,2058002,2058016,85,13,10,10269,120,142,1687,1,0,70,0.8566,0.2197,1.0,0.0081,0.8461,1.0,0.5,1.9294,1.0414,1.0,0.0,0.0096,0.23,0,0,0,0,0,1,0,Bumps
12020,49,75,1747625,1747660,253,51,35,31058,117,140,1368,0,1,40,0.0721,0.7524,0.6207,0.0212,0.5294,0.5143,0.0,2.4031,1.4624,1.2553,-0.3793,-0.0124,0.8123,0,0,0,0,0,0,1,Other_Faults
15750,38,191,1242405,1242592,5632,639,388,598862,30,141,1400,0,1,40,0.0557,0.5676,0.9745,0.1186,0.2331,0.4157,1.0,3.7262,2.1818,2.2355,0.0255,-0.0971,1.0,0,0,1,0,0,0,0,K_Scatch
1772,669,692,2530763,2530797,175,18,17,18644,86,127,1364,0,1,100,0.9277,0.4018,0.5714,0.0117,0.8421,1.0,1.0,2.243,1.2041,1.2305,0.4286,-0.1582,0.417,0,0,0,0,0,1,0,Bumps
8612,565,578,2488529,2488541,63,15,12,7145,162,190,1353,1,0,100,0.7665,0.3426,0.9167,0.0088,0.5,1.0,0.0,1.7993,1.0792,1.0792,-0.0833,0.4831,0.2408,0,0,0,0,0,0,1,Other_Faults
10586,63,72,398801,398815,261,20,25,28986,61,125,1690,1,0,60,0.0721,0.2571,0.4,0.0071,0.45,1.0,1.0,2.4166,1.0792,1.3979,0.6,-0.2233,0.5951,0,0,0,0,0,0,1,Other_Faults
1904,496,515,2629644,2629668,133,16,17,13173,47,127,1692,0,1,70,0.734,0.3299,0.7059,0.0071,0.75,1.0,1.0,2.1239,1.0792,1.2305,0.2941,-0.1785,0.3419,0,0,0,0,0,0,1,Other_Faults
8502,1164,1185,2669665,2669677,170,41,22,17587,105,125,1362,1,0,40,0.3965,0.7558,0.7059,0.0155,0.5185,0.9091,0.0,2.2304,1.3222,1.2305,-0.2941,-0.0786,0.6221,0,0,0,0,0,0,1,Other_Faults
13777,206,239,4025621,4025624,282,69,33,30746,88,126,1668,0,1,40,0.3069,0.5298,0.64,0.0148,0.4203,0.8641,1.0,2.4502,1.301,1.3979,0.36,-0.1469,0.9419,0,0,0,0,0,1,0,Bumps
6788,25,33,1846280,1846289,84,12,11,9208,111,140,1690,0,1,70,0.0251,0.3825,0.9167,0.0065,0.9167,1.0,0.0,1.9243,1.0414,1.0414,-0.0833,-0.0704,0.2432,0,0,0,0,0,0,1,Other_Faults
4741,847,858,698409,698420,63,11,11,9037,148,182,1387,0,1,40,0.7718,0.1909,0.9091,0.0072,0.7692,1.0,1.0,1.7993,1.0,1.0414,0.0909,0.2839,0.2173,0,0,1,0,0,0,0,K_Scatch
10121,507,521,210936,210956,105,20,13,12056,100,132,1356,1,0,70,0.7456,0.2202,0.8571,0.0103,0.7,0.9231,0.0,2.0212,1.1461,1.0792,-0.1429,-0.1146,0.2901,0,1,0,0,0,0,0,Z_Scratch
18621,104,122,564200,564395,874,73,90,77966,49,140,1387,0,1,40,0.0974,0.5537,0.1319,0.0184,0.2991,0.9302,1.0,2.8998,1.3979,1.9085,0.8681,-0.2614,0.9997,1,0,0,0,0,0,0,Pastry
4372,1259,1279,327823,327870,359,50,36,37572,112,127,1356,0,1,40,0.1621,0.6543,0.5714,0.0206,0.96,0.9,0.0,2.5551,1.4472,1.5315,-0.4286,-0.0782,0.9806,0,0,0,0,0,0,1,Other_Faults
9318,41,209,238667,238692,6454,229,124,684236,40,124,1356,0,1,40,0.0605,0.4074,0.3684,0.1259,0.5766,0.4545,0.0,3.8603,2.233,1.7993,-0.6316,-0.1855,1.0,0,0,1,0,0,0,0,K_Scatch
4775,41,205,1316989,1317154,9518,757,441,1084425,36,140,1400,0,1,40,0.0586,0.5488,0.9538,0.117,0.2166,0.39,1.0,3.9785,2.2148,2.2355,0.0461,-0.1052,1.0,0,0,1,0,0,0,0,K_Scatch
6408,1036,1054,2535272,2535292,68,42,15,79713,114,150,1650,1,0,69,0.4417,0.548,0.2222,0.0266,1.0,0.4333,0.0,1.8325,1.5563,0.8451,-0.7778,0.0192,0.1687,0,0,0,0,1,0,0,Dirtiness
3853,936,944,257756,257770,75,9,9,12593,195,213,1387,0,1,40,0.659,0.3854,0.9,0.0058,0.8889,1.0,1.0,1.8751,0.9031,0.9542,0.1,0.5916,0.1954,0,0,1,0,0,0,0,K_Scatch
16725,1154,1167,1299250,1299257,148,44,25,17756,104,127,1360,1,0,70,0.3515,0.5526,0.3273,0.0258,0.4688,0.655,0.0,2.1703,1.5441,1.2305,-0.6727,-0.1031,0.7079,0,0,0,0,0,0,1,Other_Faults
14673,157,167,945549,945557,45,9,8,6028,110,132,1356,1,0,70,0.2323,0.25,0.8889,0.0066,1.0,1.0,1.0,1.6532,0.9542,0.9031,0.1111,-0.049,0.1659,0,1,0,0,0,0,0,Z_Scratch
3733,633,643,2014358,2014368,145,14,21,16548,101,133,1364,0,1,40,0.9048,0.3038,0.5238,0.0073,0.5,1.0,1.0,2.1614,1.0,1.3222,0.4762,-0.1161,0.3834,0,0,0,0,0,0,1,Other_Faults
5836,41,210,1803992,1803992,6596,263,141,658162,43,119,1356,0,1,40,0.0605,0.4654,0.3771,0.1237,0.6652,0.4503,0.0,3.7946,2.233,1.8325,-0.6229,-0.1877,1.0,0,0,1,0,0,0,0,K_Scatch
7305,39,211,1587535,1587602,11492,755,444,124716,26,142,1402,0,1,40,0.0556,0.5907,0.9448,0.1293,0.7576,0.3742,0.0,4.0604,2.2577,2.2095,-0.0553,-0.0944,1.0,0,0,1,0,0,0,0,K_Scatch
7449,41,190,1661425,1661593,12509,622,374,1456542,33,141,1400,0,1,40,0.0586,0.4568,0.9048,0.1086,0.2444,0.4492,1.0,4.093,2.1818,2.2253,0.0952,-0.0903,1.0,0,0,1,0,0,0,0,K_Scatch
12862,828,837,2993150,2993160,66,10,10,7551,91,132,1692,1,0,60,0.7789,0.2556,0.9,0.0053,0.9,1.0,1.0,1.8195,0.9542,1.0,0.1,-0.15,0.1954,0,0,0,0,0,1,0,Bumps
1937,1331,1344,12987661,12987692,659,37,50,84410,120,135,1358,0,1,40,0.0604,0.5,0.8,0.0089,0.3636,0.9,1.0,2.8,1.0792,1.699,0.2,-0.0128,0.997,0,0,1,0,0,0,0,K_Scatch
2803,980,992,612201,612252,116,21,21,14809,148,182,1353,0,1,100,0.539,0.3619,0.5238,0.0081,0.5238,1.0,1.0,2.0645,1.0414,1.3222,0.4762,0.2561,0.3834,0,0,0,0,0,0,1,Other_Faults
15365,355,462,210936,210956,1107,72,85,132939,112,143,1360,0,1,40,0.6544,0.7306,0.6027,0.0274,0.5571,0.5294,0.0,3.0442,1.5682,1.7324,-0.3973,0.0106,1.0,0,0,1,0,0,0,0,K_Scatch
16918,1035,1048,961360,961371,64,18,9,8047,107,127,1696,1,0,80,0.7618,0.2917,0.4706,0.0103,0.9444,0.8889,0.0,1.8062,1.2305,0.9031,-0.5294,-0.0809,0.1852,1,0,0,0,0,0,0,Pastry
17510,1129,1134,652992,653004,373,67,60,39231,75,141,1692,1,0,200,0.0,0.4724,0.3509,0.0136,0.3846,0.9737,1.0,2.5611,1.3617,1.7559,0.6491,-0.1615,0.9451,0,0,0,0,0,0,1,Other_Faults
14298,434,447,398837,398848,78,15,8,9155,110,127,1356,1,0,40,0.5926,0.3636,0.7273,0.0083,0.6667,1.0,0.0,1.8921,1.1461,0.9031,-0.2727,-0.0332,0.1934,0,0,0,0,0,1,0,Bumps
16,41,197,2315017,2315086,11813,626,387,1302540,33,141,1402,0,1,40,0.0556,0.5908,0.8968,0.1127,0.2428,0.4189,0.0,4.0724,2.1847,2.1732,-0.1032,-0.0899,1.0,0,0,1,0,0,0,0,K_Scatch
12914,1573,1591,643180,643193,125,17,12,11979,79,118,1692,1,0,80,0.1227,0.256,0.8571,0.0083,0.8235,1.0,0.0,2.0969,1.1461,1.0792,-0.1429,-0.2813,0.2901,0,0,0,0,0,1,0,Bumps
2356,1223,1231,1030360,1030463,64,35,39,4561,89,126,1696,1,0,100,0.4865,0.3726,0.1539,0.0024,0.2571,1.0,1.0,1.8062,0.7782,1.5911,0.8461,-0.1594,0.2105,1,0,0,0,0,0,0,Pastry
3353,1237,1248,123779,123815,313,30,28,30269,115,135,1362,0,1,175,0.0044,0.2926,0.7059,0.0089,0.4,1.0,1.0,2.4955,1.0792,1.4472,0.2941,-0.0666,0.6514,0,0,0,0,0,0,1,Other_Faults
12398,1251,1256,1620649,1620667,18,6,4,2076,110,141,1360,0,1,50,0.1226,0.3333,0.5,0.0044,1.0,1.0,0.0,1.2553,0.7782,0.6021,-0.5,-0.0666,0.14,0,0,0,1,0,0,0,Stains
9798,1582,1592,519483,519540,185,25,23,18593,73,111,1354,1,0,70,0.1047,0.3281,0.5909,0.0089,0.65,1.0,1.0,2.2672,1.1761,1.3617,0.4091,-0.3108,0.5329,0,1,0,0,0,0,0,Z_Scratch
742,41,214,2098167,2098332,6509,274,139,682403,36,124,1358,0,1,40,0.0604,0.4486,0.3785,0.1274,0.6268,0.4604,0.0,3.8135,2.238,1.8261,-0.6215,-0.1861,1.0,0,0,1,0,0,0,0,K_Scatch
4489,1259,1271,55774,55824,419,40,50,42778,80,132,1356,0,1,200,0.4561,0.4954,0.3571,0.0176,0.625,0.65,1.0,2.5705,1.3802,1.699,0.6429,-0.1677,0.9048,0,0,0,0,0,0,1,Other_Faults
10469,853,861,4072432,4072440,57,15,9,6525,89,111,1370,1,0,80,0.734,0.3,0.6667,0.0089,0.8,1.0,0.0,1.7559,1.0792,0.9031,-0.3333,-0.2038,0.2018,0,0,0,0,0,1,0,Bumps
19134,773,801,1099506,1099516,243,28,27,31789,127,141,1362,0,1,40,0.8,0.516,0.95,0.0169,0.4643,0.8889,0.0,2.3856,1.3617,1.301,-0.05,0.0348,0.6268,0,0,0,0,0,1,0,Bumps
16594,90,104,1062881,1062901,146,30,24,18644,104,140,1364,0,1,40,0.1202,0.5221,0.9333,0.0088,0.5,0.8333,1.0,2.1644,1.1761,1.1761,0.0667,-0.0968,0.3509,0,0,0,0,0,0,1,Other_Faults
15949,508,518,1261077,1261088,62,17,11,6165,95,132,1690,1,0,70,0.7599,0.3485,0.9167,0.0071,0.8824,1.0,0.0,1.7924,1.0792,1.0414,-0.0833,-0.1246,0.2432,0,0,0,0,0,1,0,Bumps
5924,41,213,1878514,1878584,6239,277,134,602131,36,124,1358,0,1,40,0.0604,0.4369,0.4128,0.1283,0.6354,0.4563,0.0,3.7989,2.2406,1.8325,-0.5872,-0.1902,1.0,0,0,1,0,0,0,0,K_Scatch
5709,857,865,3942253,3942263,50,8,10,5867,101,126,1626,0,1,40,0.7338,0.3,1.0,0.0049,1.0,0.9,0.5,1.699,0.9031,0.9542,0.0,-0.1078,0.1852,0,0,0,0,0,1,0,Bumps
408,1210,1222,813452,813500,133,38,20,17085,119,143,1374,0,1,40,0.223,0.5256,0.6956,0.0137,0.5,0.65,0.0,2.1239,1.2787,1.1139,-0.3043,0.0063,0.4729,0,0,0,0,0,1,0,Bumps
13728,899,906,1013642,1013647,35,9,8,4277,115,126,1356,0,1,50,0.6162,0.4479,0.875,0.0044,0.6667,0.875,0.0,1.5441,0.7782,0.9031,-0.125,-0.0645,0.1696,0,0,0,0,0,1,0,Bumps
7595,1131,1154,1809470,1809524,182,21,29,20512,107,126,1364,0,1,40,0.6194,0.3383,0.2903,0.0081,0.5238,1.0,1.0,2.2601,1.0414,1.4624,0.7097,-0.0903,0.4796,0,0,0,0,0,0,1,Other_Faults
2149,41,194,1821207,1821379,11510,614,359,1320194,40,141,1402,0,1,40,0.0585,0.495,0.9398,0.1098,0.2413,0.4512,1.0,4.0611,2.1875,2.2227,0.0602,-0.1098,1.0,0,0,1,0,0,0,0,K_Scatch
5747,1190,1205,879259,879265,169,17,18,18656,98,119,1362,0,1,175,0.1478,0.325,0.6364,0.0081,0.6471,1.0,1.0,2.2279,1.0414,1.2553,0.3636,-0.1333,0.3977,0,0,0,0,0,0,1,Other_Faults
1232,581,590,5169308,5169335,137,17,18,16891,91,127,1358,0,1,40,0.9292,0.2593,0.7826,0.0103,0.8824,1.0,1.0,2.1367,1.1461,1.2553,0.2174,-0.1385,0.3097,0,0,0,0,0,1,0,Bumps
15767,1057,1066,4807459,4807479,126,24,20,12587,85,119,1353,0,1,185,0.4472,0.25,0.45,0.0066,0.375,1.0,1.0,2.1004,0.9542,1.301,0.55,-0.2112,0.3068,0,0,0,0,0,0,1,Other_Faults
8620,43,218,2070134,2070204,6249,306,149,649801,36,124,1358,0,1,40,0.0633,0.4495,0.3841,0.1303,0.549,0.4497,0.0,3.7979,2.248,1.8261,-0.6159,-0.1939,1.0,0,0,1,0,0,0,0,K_Scatch
